Country,State,District,Year,"Cases Due To Plasmodium Falciparum (UOM:%(Percentage)), Scaling Factor:1","Annual Blood Examination Rate (UOM:Number), Scaling Factor:1","Annual Parasite Incidence (UOM:Number), Scaling Factor:1","Slide Positivity Rate  (UOM:Number), Scaling Factor:1","Annual Falciparum Incidence   (UOM:Number), Scaling Factor:1","Slide Falciparum Rate  (UOM:Number), Scaling Factor:1","Deaths Due To Plasmodium Vivax Malaria (UOM:Number), Scaling Factor:1","Deaths Due To Plasmodium Falciparum Malaria (UOM:Number), Scaling Factor:1","Population (UOM:Number), Scaling Factor:1","Blood Smears Collected For Malaria Testing (UOM:Number), Scaling Factor:1","Blood Smears Examined  (UOM:Number), Scaling Factor:1","Indigenous Plasmodium Vivax Cases (UOM:Number), Scaling Factor:1","Indigenous Plasmodium Falciparum Cases (UOM:Number), Scaling Factor:1","Indigenous Mixed Malaria Infections (UOM:Number), Scaling Factor:1","Total Indigenous Malaria Positives (UOM:Number), Scaling Factor:1","Repeat Tests Or Re-Tests (UOM:Number), Scaling Factor:1","Total Blood Smears Collected For Malaria Testing (UOM:Number), Scaling Factor:1","Total Tests Conducted Combining Blood Smear Collection And Rapid Diagnostic Tests (UOM:Number), Scaling Factor:1","Total Blood Smears Examined (UOM:Number), Scaling Factor:1","Total Tests Examined Combining Blood Smear Examined And Rapid Diagnostic Tests  (UOM:Number), Scaling Factor:1","Total Tests Conducted Combining Blood Smear Collection And Rapid Diagnostic Tests  (UOM:Number), Scaling Factor:1","Total Tests Examined Combining Blood Smear Examined And Rapid Diagnostic Tests  (UOM:Number), Scaling Factor:1","Indigenous Cases/Positive Cases Of Plasmodium Vivax (UOM:Number), Scaling Factor:1","Indigenous Cases/Positive Cases Of Plasmodium Falciparum (UOM:Number), Scaling Factor:1","Indigenous Cases/Positive Cases Of Mixed Malaria Infections (UOM:Number), Scaling Factor:1","Indigenous Cases/Positive Cases Malaria Positives (UOM:Number), Scaling Factor:1","Indigenous Cases/Positive Cases Plasmodium Vivax Cases (UOM:Number), Scaling Factor:1","Indigenous Cases/Positive Cases Plasmodium Falciparum Cases (UOM:Number), Scaling Factor:1","Indigenous Cases/Positive Cases Mixed Malaria Infections (UOM:Number), Scaling Factor:1","Indigenous Cases/Positive Cases Malaria Positives (UOM:Number), Scaling Factor:1","Total Indigenous And Non Indigenous Cases Of Plasmodium Vivax (UOM:Number), Scaling Factor:1","Total Indigenous And Non Indigenous Cases Of Plasmodium Falciparum (UOM:Number), Scaling Factor:1","Mixed Indigenous And Non Indigenous Malaria Infections (UOM:Number), Scaling Factor:1","Total Of Indigenous And Non Indigenous Cases (UOM:Number), Scaling Factor:1","Imported Cases Or Non Indigenous Cases Of Plasmodium Malariae (UOM:Number), Scaling Factor:1","Imported Cases Or Non Indigenous Cases Of Plasmodium Ovale (UOM:Number), Scaling Factor:1","Imported Cases Or Non Indigenous Cases Of Others (UOM:Number), Scaling Factor:1","Indigenous And Non Indigenous Cases Of Plasmodium Malariae (UOM:Number), Scaling Factor:1","Indigenous And Non Indigenous Cases Of Plasmodium Ovale (UOM:Number), Scaling Factor:1","Indigenous And Non Indigenous Cases Of Others (UOM:Number), Scaling Factor:1","Indigenous Cases Or Positive Cases Of Plasmodium Malariae (UOM:Number), Scaling Factor:1","Indigenous Cases Or Positive Cases Of Plasmodium Ovale (UOM:Number), Scaling Factor:1","Indigenous Cases Or Positive Cases Of Others (UOM:Number), Scaling Factor:1"
India,Manipur,Imphal East,"Calendar Year (Jan - Dec), 2023",50,1.2,0,0.1,0,0,0,0,454,,,,,,,4,2279,3015,2279,3015,5294,5294,0,0,0,0,2,2,0,4,2,2,0,4,0,0,0,0,0,0,,,
India,Manipur,Imphal West,"Calendar Year (Jan - Dec), 2023",50,1.2,0,0,0,0,0,0,566,,,,,,,2,5759,1169,5759,1169,6928,6928,0,0,0,0,1,1,0,2,1,1,0,2,0,0,0,0,0,0,,,
India,Manipur,Jiribam,"Calendar Year (Jan - Dec), 2023",0,0.1,0,0,0,0,0,0,47,,,,,,,0,0,25,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
India,Manipur,Kakching,"Calendar Year (Jan - Dec), 2023",0,2,0,0,0,0,0,0,156,,,,,,,1,2692,387,2692,387,3079,3079,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,
India,Manipur,Kamjong,"Calendar Year (Jan - Dec), 2023",0,3.1,0,0.1,0,0,0,0,54,,,,,,,2,1102,573,1102,573,1675,1675,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,,,
India,Manipur,Kangpokpi,"Calendar Year (Jan - Dec), 2023",50,3.6,0,0.1,0,0.1,0,0,169,,,,,,,8,659,5360,659,5360,6019,6019,3,2,0,5,1,1,1,3,4,3,1,8,0,0,0,0,0,0,,,
India,Manipur,Noney,"Calendar Year (Jan - Dec), 2023",0,9.2,0,0,0,0,0,0,50,,,,,,,1,552,4060,552,4060,4612,4612,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,
India,Manipur,Pherzawl,"Calendar Year (Jan - Dec), 2023",0,5,0,0.1,0,0,0,0,32,,,,,,,1,1590,0,1590,0,1590,1590,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,
India,Manipur,Senapati,"Calendar Year (Jan - Dec), 2023",0,3.6,0,0,0,0,0,0,305,,,,,,,2,6749,4113,6749,4113,10862,10862,0,0,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,,,
India,Manipur,Tamenglong,"Calendar Year (Jan - Dec), 2023",0,10.2,0,0,0,0,0,0,71,,,,,,,0,2527,4696,2527,4696,7223,7223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
India,Manipur,Tengnoupal,"Calendar Year (Jan - Dec), 2023",100,2.7,0,0.1,0,0.1,0,0,55,,,,,,,2,227,1269,227,1269,1496,1496,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,,,
India,Manipur,Thoubal,"Calendar Year (Jan - Dec), 2023",75,2.7,0,0,0,0,0,0,315,,,,,,,4,3660,4801,3660,4801,8461,8461,0,0,0,0,1,1,2,4,1,1,2,4,0,0,0,0,0,0,,,
India,Manipur,Ukhrul,"Calendar Year (Jan - Dec), 2023",0,3.5,0,0,0,0,0,0,146,,,,,,,1,3445,1611,3445,1611,5056,5056,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,,,
India,Meghalaya,East Garo Hills,"Calendar Year (Jan - Dec), 2023",96.8,43,0.6,0.1,0.6,0.1,0,3,197,,,,,,,126,49553,35165,49553,35165,84718,84718,4,122,0,126,0,0,0,0,4,122,0,126,0,0,0,0,0,0,,,
India,Meghalaya,East Jaintia Hills,"Calendar Year (Jan - Dec), 2023",0,7.3,0,0,0,0,0,0,185,,,,,,,2,9542,3938,9542,3938,13480,13480,1,0,0,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,,,
India,Meghalaya,East Khasi Hills,"Calendar Year (Jan - Dec), 2023",72.2,5.7,0,0,0,0,0,0,999,,,,,,,18,20725,36373,20725,36373,57098,57098,3,6,0,9,2,7,0,9,5,13,0,18,0,0,0,0,0,0,,,
India,Meghalaya,Eastern West Khasi Hills,"Calendar Year (Jan - Dec), 2023",100,10.5,0,0,0,0,0,0,182,,,,,,,1,12579,6446,12579,6446,19025,19025,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,
India,Meghalaya,North Garo Hills,"Calendar Year (Jan - Dec), 2023",96.6,33.5,0.1,0,0.1,0,0,3,228,,,,,,,29,63585,12725,63585,12725,76310,76310,1,28,0,29,0,0,0,0,1,28,0,29,0,0,0,0,0,0,,,
India,Meghalaya,Ri Bhoi,"Calendar Year (Jan - Dec), 2023",20,16.8,0,0,0,0,0,0,339,,,,,,,5,35929,21019,35929,21019,56948,56948,4,1,0,5,0,0,0,0,4,1,0,5,0,0,0,0,0,0,,,
India,Meghalaya,South Garo Hills,"Calendar Year (Jan - Dec), 2023",97,53.6,7.4,1.4,7.2,1.3,0,7,172,,,,,,,1274,37357,54791,37357,54791,92148,92148,38,1236,0,1274,0,0,0,0,38,1236,0,1274,0,0,0,0,0,0,,,
India,Meghalaya,South West Garo Hills,"Calendar Year (Jan - Dec), 2023",50,22.1,0,0,0,0,0,0,213,,,,,,,6,34945,12063,34945,12063,47008,47008,3,3,0,6,0,0,0,0,3,3,0,6,0,0,0,0,0,0,,,
India,Meghalaya,South West Khasi Hills,"Calendar Year (Jan - Dec), 2023",50,11.5,0,0,0,0,0,0,129,,,,,,,2,7349,7469,7349,7469,14818,14818,1,1,0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,0,,,
India,Meghalaya,West Garo Hills,"Calendar Year (Jan - Dec), 2023",88,19.5,0.1,0.1,0.1,0.1,0,1,617,,,,,,,83,88736,31714,88736,31714,120450,120450,10,73,0,83,0,0,0,0,10,73,0,83,0,0,0,0,0,0,,,
India,Meghalaya,West Jaintia Hills,"Calendar Year (Jan - Dec), 2023",60,12.7,0,0,0,0,0,0,365,,,,,,,10,33878,12484,33878,12484,46362,46362,4,4,0,8,0,2,0,2,4,6,0,10,0,0,0,0,0,0,,,
India,Meghalaya,West Khasi Hills,"Calendar Year (Jan - Dec), 2023",98,16,0.9,0.6,0.9,0.6,0,0,213,,,,,,,199,20746,13228,20746,13228,33974,33974,4,195,0,199,0,0,0,0,4,195,0,199,0,0,0,0,0,0,,,
India,Mizoram,Aizawl,"Calendar Year (Jan - Dec), 2023",37.9,24.1,0.1,0,0,0,0,0,280,,,,,,,29,42830,30065,37296,30065,72895,67361,18,11,0,29,0,0,0,0,18,11,0,29,0,0,0,0,0,0,,,
India,Mizoram,Champhai,"Calendar Year (Jan - Dec), 2023",47.6,26.8,0.3,0.1,0.1,0.1,0,1,146,,,,,,,42,16288,29393,9741,29393,45681,39134,18,16,0,34,4,4,0,8,22,20,0,42,0,0,0,0,0,0,,,
India,Mizoram,Kolasib,"Calendar Year (Jan - Dec), 2023",31,24.1,0.3,0.1,0.1,0,0,0,94,,,,,,,29,20453,17556,5061,17556,38009,22617,18,7,0,25,2,2,0,4,20,9,0,29,0,0,0,0,0,0,,,
India,Mizoram,Lawngtlai,"Calendar Year (Jan - Dec), 2023",69.2,33.8,56.2,16.6,38.9,11.5,0,6,141,,,,,,,7927,7590,40226,7498,40226,47816,47724,2441,5486,0,7927,0,0,0,0,2441,5486,0,7927,0,0,0,0,0,0,,,
India,Mizoram,Lunglei,"Calendar Year (Jan - Dec), 2023",74.1,30.2,28,9.3,20.8,6.9,0,3,177,,,,,,,4959,11138,44052,9432,44052,55190,53484,1263,3521,107,4891,23,40,5,68,1286,3561,112,4959,0,0,0,0,0,0,,,
India,Mizoram,Mamit,"Calendar Year (Jan - Dec), 2023",55,29.1,33.2,11.4,18.3,6.3,0,1,99,,,,,,,3288,4829,23978,4829,23978,28807,28807,1477,1741,66,3284,3,1,0,4,1480,1742,66,3288,0,0,0,0,0,0,,,
India,Mizoram,Serchhip,"Calendar Year (Jan - Dec), 2023",41.7,38.5,0.7,0.2,0.3,0.1,0,1,70,,,,,,,48,9290,17688,9290,17688,26978,26978,28,20,0,48,0,0,0,0,28,20,0,48,0,0,0,0,0,0,,,
India,Mizoram,Siaha,"Calendar Year (Jan - Dec), 2023",33.9,67.2,24.4,3.6,8.3,1.2,0,0,69,,,,,,,1681,25946,20408,25946,20408,46354,46354,954,482,13,1449,157,68,7,232,1111,550,20,1681,0,0,0,0,0,0,,,
India,Mizoram,Unknown Districts Of India,"Calendar Year (Jan - Dec), 2023",41.9000000000000000,18.2,0.4,0.2,0.2,0.1,0,1,194,,,,,,,74,14388,21008,14388,21008,35396,35396,43,30,1,74,0,0,0,0,43,30,1,74,0,0,0,0,0,0,,,
India,Nagaland,Dimapur,"Calendar Year (Jan - Dec), 2023",50,15.8,0,0,0,0,0,0,182,,,,,,,2,20790,7963,20790,7963,28753,28753,0,0,0,0,1,1,0,2,1,1,0,2,0,0,0,0,0,0,,,
India,Nagaland,Kiphire,"Calendar Year (Jan - Dec), 2023",0,18.6,0,0,0,0,0,0,74,,,,,,,0,4956,8800,4956,8800,13756,13756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
India,Nagaland,Kohima,"Calendar Year (Jan - Dec), 2023",0,18.2,0,0,0,0,0,0,268,,,,,,,1,26727,22063,26727,22063,48790,48790,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,
India,Nagaland,Longleng,"Calendar Year (Jan - Dec), 2023",0,27.7,0,0,0,0,0,0,50,,,,,,,0,4460,9413,4460,9413,13873,13873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
India,Nagaland,Mokokchung,"Calendar Year (Jan - Dec), 2023",0,13.4,0,0,0,0,0,0,195,,,,,,,1,19899,6271,19899,6271,26170,26170,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,,,
India,Nagaland,Mon,"Calendar Year (Jan - Dec), 2023",0,8.4,0,0,0,0,0,0,250,,,,,,,0,10178,10764,10178,10764,20942,20942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
India,Nagaland,Peren,"Calendar Year (Jan - Dec), 2023",100,10.4,0,0,0,0,0,0,95,,,,,,,1,7397,2499,7397,2499,9896,9896,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,
India,Nagaland,Phek,"Calendar Year (Jan - Dec), 2023",0,12.3,0,0,0,0,0,0,163,,,,,,,0,12724,7247,12724,7247,19971,19971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
India,Nagaland,Tuensang,"Calendar Year (Jan - Dec), 2023",0,10,0,0,0,0,0,0,197,,,,,,,0,16630,2994,16630,2994,19624,19624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
India,Nagaland,Unknown Districts Of India,"Calendar Year (Jan - Dec), 2023",100.0000000000000000,6.5,0,0,0,0,0,0,197,,,,,,,2,11787,1009,11787,1009,12796,12796,0,0,0,0,0,1,1,2,0,1,1,2,0,0,0,0,0,0,,,
India,Nagaland,Wokha,"Calendar Year (Jan - Dec), 2023",50,13.3,0,0,0,0,0,0,166,,,,,,,2,18450,3681,18450,3681,22131,22131,1,1,0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,0,,,
India,Nagaland,Zunheboto,"Calendar Year (Jan - Dec), 2023",0,9,0,0,0,0,0,0,141,,,,,,,1,10620,2111,10620,2111,12731,12731,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,,,
India,Odisha,Anugul,"Calendar Year (Jan - Dec), 2023",74.3,21.5,0.1,0,0.1,0,0,0,1424,,,,,,,140,77630,228690,77630,228690,306320,306320,36,104,0,140,0,0,0,0,36,104,0,140,0,0,0,0,0,0,,,
India,Odisha,Balangir,"Calendar Year (Jan - Dec), 2023",68.5,19.9,0.2,0.1,0.1,0.1,0,0,1894,,,,,,,346,69536,307158,69536,307158,376694,376694,109,237,0,346,0,0,0,0,109,237,0,346,0,0,0,0,0,0,,,
India,Odisha,Baleshwar,"Calendar Year (Jan - Dec), 2023",23.4,16,0,0,0,0,0,0,2494,,,,,,,64,46517,352968,46517,352968,399485,399485,2,1,0,3,47,14,0,61,49,15,0,64,0,0,0,0,0,0,,,
India,Odisha,Bargarh,"Calendar Year (Jan - Dec), 2023",69.1,19.9,0.1,0,0.1,0,0,0,1596,,,,,,,149,41226,276075,41226,276075,317301,317301,46,103,0,149,0,0,0,0,46,103,0,149,0,0,0,0,0,0,,,
India,Odisha,Bhadrak,"Calendar Year (Jan - Dec), 2023",26.8,11.7,0,0,0,0,0,0,1643,,,,,,,56,16358,175817,16358,175817,192175,192175,4,2,0,6,37,13,0,50,41,15,0,56,0,0,0,0,0,0,,,
India,Odisha,Boudh,"Calendar Year (Jan - Dec), 2023",73.8,21.5,1.1,0.5,0.8,0.4,0,0,477,,,,,,,511,17683,85077,17683,85077,102760,102760,134,377,0,511,0,0,0,0,134,377,0,511,0,0,0,0,0,0,,,
India,Odisha,Cuttack,"Calendar Year (Jan - Dec), 2023",50,11.4,0,0,0,0,0,0,2879,,,,,,,64,51739,277158,51739,277158,328897,328897,6,26,0,32,26,6,0,32,32,32,0,64,0,0,0,0,0,0,,,
India,Odisha,Deogarh,"Calendar Year (Jan - Dec), 2023",91.2,30.4,0.1,0,0.1,0,0,0,354,,,,,,,34,22996,84507,22996,84507,107503,107503,3,31,0,34,0,0,0,0,3,31,0,34,0,0,0,0,0,0,,,
India,Odisha,Dhenkanal,"Calendar Year (Jan - Dec), 2023",75.9,18.1,0.1,0,0.1,0,0,0,1281,,,,,,,112,37512,194888,37512,194888,232400,232400,27,85,0,112,0,0,0,0,27,85,0,112,0,0,0,0,0,0,,,
India,Odisha,Gajapati,"Calendar Year (Jan - Dec), 2023",78.3,35,1.2,0.3,0.9,0.3,0,0,653,,,,,,,791,33478,195000,33478,195000,228478,228478,172,619,0,791,0,0,0,0,172,619,0,791,0,0,0,0,0,0,,,
India,Odisha,Ganjam,"Calendar Year (Jan - Dec), 2023",62.5,13.2,0.3,0.2,0.2,0.1,0,0,3854,,,,,,,1137,65846,441525,65846,441525,507371,507371,426,711,0,1137,0,0,0,0,426,711,0,1137,0,0,0,0,0,0,,,
India,Odisha,Jagatsinghapur,"Calendar Year (Jan - Dec), 2023",53.5,18.3,0,0,0,0,0,0,1252,,,,,,,43,40308,189137,40308,189137,229445,229445,0,0,0,0,20,23,0,43,20,23,0,43,0,0,0,0,0,0,,,
India,Odisha,Jajapur,"Calendar Year (Jan - Dec), 2023",76.8,13.1,0,0,0,0,0,0,2012,,,,,,,69,54683,208347,54683,208347,263030,263030,16,53,0,69,0,0,0,0,16,53,0,69,0,0,0,0,0,0,,,
India,Odisha,Jharsuguda,"Calendar Year (Jan - Dec), 2023",80.5,18.7,0.1,0,0.1,0,0,0,603,,,,,,,41,15773,97190,15773,97190,112963,112963,8,33,0,41,0,0,0,0,8,33,0,41,0,0,0,0,0,0,,,
India,Odisha,Kalahandi,"Calendar Year (Jan - Dec), 2023",84.4,23.7,4.2,1.8,3.6,1.5,0,0,1781,,,,,,,7543,68409,354485,68409,354485,422894,422894,1173,6370,0,7543,0,0,0,0,1173,6370,0,7543,0,0,0,0,0,0,,,
India,Odisha,Kandhamal,"Calendar Year (Jan - Dec), 2023",81.4,49.7,6,1.2,4.9,1,0,1,844,,,,,,,5062,64482,354706,64482,354706,419188,419188,941,4121,0,5062,0,0,0,0,941,4121,0,5062,0,0,0,0,0,0,,,
India,Odisha,Kendrapara,"Calendar Year (Jan - Dec), 2023",37,11.6,0.1,0.1,0,0,0,0,1500,,,,,,,100,29389,144369,29389,144369,173758,173758,0,0,0,0,63,37,0,100,63,37,0,100,0,0,0,0,0,0,,,
India,Odisha,Khordha,"Calendar Year (Jan - Dec), 2023",61.6,12.6,0.1,0.1,0.1,0,0,0,2482,,,,,,,224,61107,251011,61107,251011,312118,312118,86,138,0,224,0,0,0,0,86,138,0,224,0,0,0,0,0,0,,,
India,Odisha,Koraput,"Calendar Year (Jan - Dec), 2023",85.4,34.9,4.5,1.3,3.9,1.1,0,0,1554,,,,,,,7007,108667,434413,108667,434413,543080,543080,1020,5987,0,7007,0,0,0,0,1020,5987,0,7007,0,0,0,0,0,0,,,
India,Odisha,Malkangiri,"Calendar Year (Jan - Dec), 2023",81.9,48,5.5,1.2,4.5,0.9,0,0,704,,,,,,,3888,47110,290593,47110,290593,337703,337703,703,3185,0,3888,0,0,0,0,703,3185,0,3888,0,0,0,0,0,0,,,
India,Odisha,Mayurbhanj,"Calendar Year (Jan - Dec), 2023",92,17.5,0.4,0.2,0.3,0.2,0,0,2880,,,,,,,1036,83539,419534,83539,419534,503073,503073,83,953,0,1036,0,0,0,0,83,953,0,1036,0,0,0,0,0,0,,,
India,Odisha,Nabarangpur,"Calendar Year (Jan - Dec), 2023",84,23.9,0.5,0.2,0.4,0.2,0,0,1378,,,,,,,655,54342,275153,54342,275153,329495,329495,105,550,0,655,0,0,0,0,105,550,0,655,0,0,0,0,0,0,,,
India,Odisha,Nayagarh,"Calendar Year (Jan - Dec), 2023",79.4,20.2,0.6,0.3,0.5,0.2,0,0,1073,,,,,,,612,20743,196285,20743,196285,217028,217028,126,486,0,612,0,0,0,0,126,486,0,612,0,0,0,0,0,0,,,
India,Odisha,Nuapada,"Calendar Year (Jan - Dec), 2023",80,25.1,0.3,0.1,0.3,0.1,0,0,743,,,,,,,235,32613,153896,32613,153896,186509,186509,47,188,0,235,0,0,0,0,47,188,0,235,0,0,0,0,0,0,,,
India,Odisha,Puri,"Calendar Year (Jan - Dec), 2023",27.7,16.4,0.1,0,0,0,0,0,1871,,,,,,,112,49146,257251,49146,257251,306397,306397,8,0,0,8,73,31,0,104,81,31,0,112,0,0,0,0,0,0,,,
India,Odisha,Rayagada,"Calendar Year (Jan - Dec), 2023",74.5,52.4,8.9,1.7,6.6,1.3,0,0,1116,,,,,,,9925,90375,493932,90375,493932,584307,584307,2529,7396,0,9925,0,0,0,0,2529,7396,0,9925,0,0,0,0,0,0,,,
India,Odisha,Sambalpur,"Calendar Year (Jan - Dec), 2023",90.7,13,0.1,0.1,0.1,0.1,0,0,1109,,,,,,,161,17166,126853,17166,126853,144019,144019,15,146,0,161,0,0,0,0,15,146,0,161,0,0,0,0,0,0,,,
India,Odisha,Sonepur,"Calendar Year (Jan - Dec), 2023",70.7,18.5,0.1,0.1,0.1,0,0,0,627,,,,,,,58,15268,100598,15268,100598,115866,115866,17,41,0,58,0,0,0,0,17,41,0,58,0,0,0,0,0,0,,,
India,Odisha,Sundargarh,"Calendar Year (Jan - Dec), 2023",89.7,26,0.7,0.3,0.6,0.2,0,3,2342,,,,,,,1533,113731,495459,113731,495459,609190,609190,158,1375,0,1533,0,0,0,0,158,1375,0,1533,0,0,0,0,0,0,,,
India,Odisha,Unknown Districts Of India,"Calendar Year (Jan - Dec), 2023",91.3000000000000000,29,0.1,0,0.1,0,0,0,2072,,,,,,,265,72463,528023,72463,528023,600486,600486,23,242,0,265,0,0,0,0,23,242,0,265,0,0,0,0,0,0,,,
India,Puducherry,Karaikal,"Calendar Year (Jan - Dec), 2023",0,9.7,0,0,0,0,0,0,223,,,,,,,2,21719,0,21719,0,21719,21719,0,0,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,,,
India,Puducherry,Mahe,"Calendar Year (Jan - Dec), 2023",0,16.6,0,0,0,0,0,0,45,,,,,,,1,7479,0,7479,0,7479,7479,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,,,
India,Puducherry,Pondicherry,"Calendar Year (Jan - Dec), 2023",0,12.1,0,0,0,0,0,0,960,,,,,,,3,115343,596,115343,596,115939,115939,0,0,0,0,3,0,0,3,3,0,0,3,0,0,0,0,0,0,,,
India,Puducherry,Yanam,"Calendar Year (Jan - Dec), 2023",0,4,0,0,0,0,0,0,57,,,,,,,0,2294,0,2294,0,2294,2294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
India,Punjab,Amritsar,"Calendar Year (Jan - Dec), 2023",0,9.7,0,0,0,0,0,0,2787,,,,,,,0,263200,7015,263200,7015,270215,270215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
India,Punjab,Barnala,"Calendar Year (Jan - Dec), 2023",0,11.5,0,0,0,0,0,0,628,,,,,,,0,70976,1550,70976,1550,72526,72526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
India,Punjab,Bathinda,"Calendar Year (Jan - Dec), 2023",40,8.6,0,0,0,0,0,0,1473,,,,,,,5,125238,1229,125238,1229,126467,126467,2,0,0,2,1,2,0,3,3,2,0,5,0,0,0,0,0,0,,,
India,Punjab,Faridkot,"Calendar Year (Jan - Dec), 2023",0,11.2,0,0,0,0,0,0,635,,,,,,,1,68919,1914,68919,1914,70833,70833,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,,,
India,Punjab,Fatehgarh Sahib,"Calendar Year (Jan - Dec), 2023",100,14.2,0,0,0,0,0,0,637,,,,,,,1,78165,12117,78165,12117,90282,90282,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,,,
India,Punjab,Fazilka,"Calendar Year (Jan - Dec), 2023",0,7.5,0,0,0,0,0,0,1130,,,,,,,3,81838,2368,81838,2368,84206,84206,2,0,0,2,1,0,0,1,3,0,0,3,0,0,0,0,0,0,,,
India,Punjab,Ferozepur,"Calendar Year (Jan - Dec), 2023",0,8.2,0,0,0,0,0,0,1084,,,,,,,1,75589,13466,75589,13466,89055,89055,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,,,
India,Punjab,Gurdaspur,"Calendar Year (Jan - Dec), 2023",0,11.1,0,0,0,0,0,0,1848,,,,,,,0,201661,3273,201661,3273,204934,204934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
India,Punjab,Hoshiarpur,"Calendar Year (Jan - Dec), 2023",11.8,11,0,0,0,0,0,0,1780,,,,,,,17,193347,3166,193347,3166,196513,196513,6,2,0,8,9,0,0,9,15,2,0,17,0,0,0,0,0,0,,,
India,Punjab,Jalandhar,"Calendar Year (Jan - Dec), 2023",0,6.8,0,0,0,0,0,0,2549,,,,,,,0,172404,1819,172404,1819,174223,174223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
India,Punjab,Kapurthala,"Calendar Year (Jan - Dec), 2023",0,8.7,0,0,0,0,0,0,879,,,,,,,3,61006,15761,61006,15761,76767,76767,1,0,0,1,2,0,0,2,3,0,0,3,0,0,0,0,0,0,,,
India,Punjab,Ludhiana,"Calendar Year (Jan - Dec), 2023",0,7.6,0,0,0,0,0,0,3658,,,,,,,24,272383,4059,272383,4059,276442,276442,18,0,0,18,6,0,0,6,24,0,0,24,0,0,0,0,0,0,,,
India,Punjab,Malerkotla,"Calendar Year (Jan - Dec), 2023",0,9.7,0,0,0,0,0,0,450,,,,,,,0,36758,6925,36758,6925,43683,43683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
India,Punjab,Mansa,"Calendar Year (Jan - Dec), 2023",0,8.4,0,0,0,0,0,0,812,,,,,,,5,49865,18264,49865,18264,68129,68129,4,0,0,4,1,0,0,1,5,0,0,5,0,0,0,0,0,0,,,
India,Punjab,Moga,"Calendar Year (Jan - Dec), 2023",0,7,0,0,0,0,0,0,1040,,,,,,,2,71971,669,71971,669,72640,72640,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,,,
India,Punjab,Pathankot,"Calendar Year (Jan - Dec), 2023",0,11.2,0,0,0,0,0,0,687,,,,,,,0,65604,11043,65604,11043,76647,76647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
India,Punjab,Patiala,"Calendar Year (Jan - Dec), 2023",0,11.4,0,0,0,0,0,0,2098,,,,,,,0,231069,7367,231069,7367,238436,238436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
India,Punjab,Rupnagar,"Calendar Year (Jan - Dec), 2023",0,10.5,0,0,0,0,0,0,746,,,,,,,0,72921,5196,72921,5196,78117,78117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
India,Punjab,S.A.S Nagar,"Calendar Year (Jan - Dec), 2023",16.7,5.7,0,0,0,0,0,0,1623,,,,,,,6,80720,11784,80720,11784,92504,92504,2,0,0,2,3,1,0,4,5,1,0,6,0,0,0,0,0,0,,,
